"corporate_id","corporate_code","corporate_name","type","created_by","created_date","kelompok_usaha","jenis_perusahaan","bidang_usaha","bentuk_perusahaan","tempat_pendirian","legalitas","no_legalitas","tanggal_terbit","tanggal_kadaluarsa","akta_pendirian","tanggal_aktapendirian","akta_perubahan","tanggal_aktaperubahan","npwp","alamat","kodepos","kelurahan","kecamatan","kota","propinsi","telepon","facsimile","email","keterangan","limit_rupiah","limit_valas","limit_total","max_user","booking_office","pemrakarsa","rekening","nama_rekening","status","abonemen","cif_perusahaan","approval_mode","approval_checker_count","approval_signer_count"
"00001",AGRO,BRI AGRONIAGA,OWNER,"","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000000.00","","1000000000000.00","20","","","001001000004110",ERROR,ACTIVE,"0.00","0000047906",SINGLE,1,1
"00005",SM,SAYUR MAYUR,CLIENT,"00001","2015-07-01 17:27:09",Korporasi,PT,"",Badan Hukum,"",SIUP,"","","","","","","","","","","","","","","","","","","","","","","","","",,CLOSED,"",,SINGLE,1,1
"00006",DMJ,DUO MAJU JAYA,CLIENT,"00001","2015-07-06 13:22:33",Mikro,CV,Pertanian,Non Badan Hukum,BLITAR,SIUP,XXYYZZ,"","","","","","","1234567890","","","","","","","","","",HOHO HAHA ASDF GHJKLMNOP,"100000000.00","","150000000.00","20","0020",Ajis,"041001000044403","",ACTIVE,"0.00","0000041993",MULTIPLE,1,2
"00008",ABCD,ANEKA BUAH,CLIENT,"00001","2015-07-29 10:50:57",Korporasi,PT,"",Badan Hukum,"",SIUP,"23142312152152172","","","","","","","12124545679","","11210",TANAH SAREAL,TAMBORA,JAKARTA BARAT,DKI JAKARTA,"0217675657","021756454",irminawati@briagro.co.id,PERUSAHAAN PRIORITAS,"1000000000.00","","1000000000.00","25","0011","","001001000130309","",ACTIVE,"250000.00","0000082437",SINGLE,1,1
"00010",IWAK,IKAN SALMON,CLIENT,"00001","2015-09-10 14:02:07",Korporasi,PT,PERIKANAN,Badan Hukum,Surabaya,SIUP,"123412341234","2000-02-09","2020-04-15",xxyyzzz12341234,"2000-03-15","","","76564378452342",JL Arif Rahman Hakim 04,"60111",KEPUTIH,SUKOLILO,SURABAYA,JAWA TIMUR,"","",me@iwakeputih.co.id,"","50,000,000.00","","15","15","0410","0410005","",,CLOSED,"",,MULTIPLE,1,1
"00011",TK,PT. TONG KOSONG,CLIENT,"00001","2015-09-17 15:59:45",Korporasi,CV,KEBUN SAWIT,Badan Hukum,Jakarta,SIUP,"008/SIUP/DKI/IX/2005","2005-09-09","2017-09-05","008/SIUP/DKI/IX/2005","2005-09-09","01/09/2015","2015-09-01","89703334445",JL. WIJAYA KESUMA NO. 10,"11140",KRUKUT,TAMANSARI,JAKARTA BARAT,DKI JAKARTA,"21341324123","4223432",widy@briagro.co.id,Input Data Baru,"1,000,000,000.00","1,000.00","1,000,000,000.00","5",assdaf,asdfas,"",,ACTIVE,"",,SINGLE,1,1
"00012",TAM,PT. TAMIYA,CLIENT,"00001","2015-09-17 21:03:50",Korporasi,PT,PLASTIK MODEL,Badan Hukum,Jakarta,SIUP,"","2010-10-08","","008/SIUP/DKI/IX/2005","","","","234141234312431",JL. WIJAYA KESUMA NO. 10,"10120",KEBON KELAPA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,"0215480034","",sony.harpriyono@briagro.co.id,Perubahan Data Perusahaan,"500000000","","500000000","15","","","131001003134303",HUTAHAEAN.PT ,ACTIVE,"200000.00","0000047906",SINGLE,1,1
"00013",DJS,DIV DANA JASA TRIAL,CLIENT,"00001","2015-09-29 10:12:53",Korporasi,PT,Funding,Badan Hukum,"",Lainnya,"","","","","","","","","","","","","","","","",monika.fardani@briagro.co.id,"","100,000,000.00","","10,000,000,000.00","10","0010","","",,ACTIVE,"",,SINGLE,1,1
"00014",MAJU,PT.MAJU TUMBUH BERKEMBANG,CLIENT,"00001","2015-10-05 14:50:00",Korporasi,PT,KONTRAKTOR,Badan Hukum,JAKARTA,TDP,"","2015-10-05","","55214","","","","",JL HR RASUNA SAID BLOK X-2 NO 1,"15414","","",JAKARTA,"","","",ekosarmudianto@gmail.com,"","125,000,000.00","","150,000,000.00","","","","",,CLOSED,"",,SINGLE,1,1
"00015",MA,PT. MASUK ANGIN,CLIENT,"00001","2015-10-09 11:33:17",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","5,000,000.00","","10","10","0010",Dr.Dre,"",,CLOSED,"",,SINGLE,1,1
